LDAP_CODE,부서1,부서2,부서3,부서4,부서5,부서6,공무원_종류,직급,정원수
,고용노동부,본부,차관,감사관,감사관,감사담당관,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사,1
,고용노동부,본부,차관,감사관,감사관,감사담당관,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사,1
,고용노동부,본부,차관,감사관,감사관,감사담당관,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,감사관,감사관,감사담당관,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,감사관,감사관,감사담당관,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,감사관,감사관,민원운영팀,일반직,서기관·과학기술서기관· 행정·공업·보건 또는 시설사무관,1
,고용노동부,본부,차관,감사관,감사관,민원운영팀,일반직,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
,고용노동부,본부,차관,감사관,감사관,민원운영팀,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사,1
,고용노동부,본부,차관,감사관,감사관,민원운영팀,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,감사관,감사관,민원운영팀,일반직,행정·통계·직업상담·공업· 보건·시설 또는 전산주사보,1
,고용노동부,본부,차관,감사관,감사관,민원운영팀,일반직,사무운영서기보,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,부이사관·서기관 또는 과학기술서기관,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
,고용노동부,본부,차관,운영지원과,운영지원과,운영지원과,일반직,행정·통계·공업·보건· 시설·전산 또는 기록연구관,1
